R,G,B,H,H,S,V,L,A,B,MK,STDDEV,VRES,SRES,LCCP0_C,LCCP0_S,LCCP0_N,0_CT,0_ST,LCCP1_C,LCCP1_S,LCCP1_N,1_CT,1_ST,WL,WC,WV,L,C,V,K,,,
114,61,122,74,169,89,101,"[46, 195]",73,162,44,1.83088591895091,0.00798979218060099,0.0355224443809909,0.0325125772913812,0.437939059968273,0.360016050001085,27.3879713667239,0.0213070873760289,0.0695131948001283,0.493409472144896,0.772129118716049,64.1137871600292,0.718037019246614,0.249339358964191,0.575535557050518,0.87170178573714,"[0.009972420671709645, 0.02137715939612142]","[0.5821755857197738, 1.5766761860991545]","[3.1134202183759574e-08, 1.5056256061145158e-06]",3,0,1,3
192,122,81,41,118,86,147,"[29, 217]",60,69,67,2.02834445738884,0.00675908058727471,0.0113647517590285,0.124354612800765,0.601827453284774,0.649665868907607,111.429609596362,0.410000985082637,0.203609153102064,0.798619951273353,0.64261304241316,85.9913355310793,0.412927268546494,0.298628023243465,0.992542615698512,0.158932535713342,"[0.007622114890307551, 0.02482063373925361]","[0.5572404733824943, 1.4663571764705325]","[8.836042790749344e-08, 1.091188160148822e-06]",3,-1,1,1
127,122,143,37,153,97,148,"[43, 190]",142,71,73,2.67341220976674,0.00635031791255161,0.0136164755786267,0.240488105888098,0.702086516763622,0.5428088943212,46.5586021549624,0.911573944999023,0.385592771135103,0.744074691626684,0.395557086529589,104.750544485446,0.554408115364527,0.740841303284555,0.874388585356677,0.461167569223067,"[0.006522162252076922, 0.024204594603164667]","[0.7530834594240126, 1.4722911442379611]","[2.2916751972727094e-07, 9.183270439808943e-07]",3,4,2,8
177,80,57,18,161,129,93,"[33, 189]",47,82,89,2.92099672710545,0.00661000266655593,0.0243576970065643,0.396153999362678,0.477707970334088,0.657296845161361,136.300012560393,0.601888970073512,0.38882194004854,0.619121836729712,0.491449846933544,37.3511813492731,0.474821955683082,0.135512704052961,0.733080153286886,0.966393449110417,"[0.007682416875515728, 0.020012872343202745]","[0.5944132128630104, 1.5121214820850823]","[5.8938130506925935e-08, 1.1440903149457407e-06]",2,-1,8,1
196,142,50,71,146,77,110,"[11, 209]",3,131,49,1.41486182888483,0.00593119374082017,0.027668189866713,0.129377573976875,0.649218424572545,0.708468116027718,104.825809167462,0.912664829341854,0.241391913348653,0.331852809968975,0.297412812118936,155.216919272678,0.6027836418629,0.265270011201772,0.319860529943294,0.278667556746026,"[0.005410473724009679, 0.023680314886722544]","[0.48568776945995945, 1.5667175642767608]","[2.274915212298335e-07, 1.0064519744029559e-06]",3,-1,2,2
127,114,112,80,164,80,141,"[81, 203]",112,45,78,1.8531192711803,0.00553537739913209,0.0214773796492892,0.200924894600865,0.574348955349913,0.714133427188241,138.791277004873,0.268729280107637,0.227623232370297,0.261803406594696,0.561617587301384,98.9300067359042,0.0578803697889478,0.50312408776176,0.849718824926551,0.677535698852146,"[0.00611438471349657, 0.02318838027654534]","[0.4499467429047233, 1.5195819377840993]","[1.5551338277889903e-07, 1.4201435772704567e-06]",3,3,1,1
174,101,73,10,130,106,118,"[95, 172]",48,43,59,2.73349441092725,0.00636075585848641,0.0232956279786623,0.020489656893781,0.399479088970552,0.604701838413264,168.358936692813,0.336578883422357,0.294900784043305,0.382375811142037,0.651297154377817,162.257692464435,0.0665048449137888,0.556885553414634,0.772458003616671,0.112037815025798,"[0.007052846833494405, 0.023108476402023695]","[0.7794432202782966, 1.3814441802553679]","[1.3673615145907114e-07, 1.5704124680387485e-06]",3,-1,0,1
177,98,56,30,148,120,123,"[36, 219]",147,61,48,2.76929931335134,0.00562069146437216,0.0187305160505434,0.228244929801049,0.201217431708988,0.513929736611419,56.3984667022561,0.460542240036311,0.320621510835676,0.24928990313821,0.233314304067547,71.5700291898778,0.480654063775257,0.466046449547632,0.331307935948463,0.766234955366285,"[0.008817293561118987, 0.021952786666081612]","[0.514643746692235, 1.5781900103839495]","[2.275407712977966e-07, 9.669837735299522e-07]",1,-1,1,10
189,82,117,51,140,121,131,"[86, 195]",139,27,73,2.30464075495506,0.00638042514097604,0.0318291817869929,0.289991668107939,0.33319564983917,0.518306900012855,64.6377744340824,0.522889496954955,0.199974970068912,0.743273604221811,0.703429488826094,32.1787432524336,0.407438146930853,0.46167935586583,0.689946945447429,0.938147160259632,"[0.009084472146953633, 0.0212812875994242]","[0.5529416365200053, 1.4155554388758032]","[1.6676177890649147e-07, 1.3502308671408993e-06]",1,-1,2,8
126,73,104,52,156,121,92,"[50, 167]",4,85,38,1.21655316447498,0.00792464185630399,0.0302556153918279,0.378107638267668,0.389930608072581,0.255315437569368,160.107749526312,0.0237326720844092,0.228459553212706,0.607992593044856,0.323031877364096,139.918087943887,0.614956124040054,0.26094505689805,0.330216396950944,0.370896005390875,"[0.005501029139080651, 0.024235697614621857]","[0.47165392952074214, 1.3631747056906618]","[3.4833536943448356e-08, 1.5108625631046573e-06]",1,0,2,1
122,94,76,78,131,66,94,"[89, 164]",136,79,95,1.66499848250153,0.00759285217038607,0.0238288950328838,0.246570884043574,0.664457880266266,0.550554469815417,138.383602332384,0.57613995087197,0.061780722711325,0.776306968372522,0.783211491822454,150.729182023703,0.383682367499986,0.595659349094074,0.641487716813604,0.287671502965571,"[0.008258045495906698, 0.021799150526846375]","[0.7434999880830093, 1.5672887564756697]","[2.475575575575159e-07, 1.3311665954878026e-06]",3,3,2,1
