
121,58,172,61,165,143,110,"[65, 240]",110,109,70,2.067248445812111,0.0065738976660198985,0.014263037436075304,0.34699199529515623,0.39308805402076186,0.4893400544357382,121.70137504890606,0.7837064120366567,0.030711945710095813,0.7411610998074736,0.6086749568854531,107.86923165584142,0.058177398690851145,0.2845932867803057,0.8302634587945348,0.95006652057331,"[0.007426539158206182, 0.021863285489838444]","[0.5785653387804508, 1.4852831880806394]","[2.3082922770525862e-07, 1.0875264469257545e-06]",1,4,103,78
78,65,127,51,128,121,71,"[48, 201]",38,155,85,2.035767999059276,0.005954413333713982,0.02651631662189486,0.1857724982638112,0.26114136745044036,0.4216249905608038,32.31503912996956,0.48964295978619277,0.23462487979163807,0.41948423953491376,0.628871974475965,63.89672520986906,0.43669729033745075,0.46256454300040306,0.5239931892640609,0.6721680929266404,"[0.008361624737143296, 0.02456182499713648]","[0.4317975196399837, 1.4517302321336667]","[2.2624850484227556e-07, 1.0844981304257132e-06]",1,55,216,170
83,168,187,12,109,101,124,"[18, 212]",4,64,36,2.992893972151636,0.005062614003483955,0.016221653529911957,0.09929310665392146,0.5545730125531791,0.2572525546794334,34.28737874777211,0.4299361265894823,0.19003114793466303,0.5866610677899873,0.41490541662437186,50.1909077947235,0.052194624319219396,0.47871522437238645,0.41689461957002016,0.5714962155838763,"[0.008807510039910612, 0.022924380034397555]","[0.6034787206782036, 1.2161090245699069]","[1.1153846284155379e-07, 1.5148193465939913e-06]",2,525,2,160
196,188,93,23,169,95,145,"[90, 151]",18,134,68,2.3529793480613375,0.006678679673986759,0.03724329294428084,0.0588495560792992,0.6684606756634248,0.5480376574555339,142.82064418035213,0.0466315169171444,0.0980657682263154,0.40172802268285224,0.6351879495393844,46.94537332451958,0.4241093908108132,0.767412542754461,0.23961441891707003,0.6641360564358456,"[0.0050717474894609, 0.023654375841945442]","[0.6144691714882533, 1.4908388207294117]","[2.4659974618778877e-07, 1.5525952655950833e-06]",3,9,70,46
155,173,100,26,123,148,150,"[69, 192]",134,146,45,2.8392755387915605,0.007515005648240749,0.022334217511941964,0.39760786471749304,0.7187967834062603,0.7360135483354455,12.487848609954497,0.6568007805652417,0.19116876273202266,0.6031163010613998,0.5068147893211421,100.25327619523156,0.7587123580091809,0.3863625662487663,0.6708390020615388,0.18234745769788502,"[0.009035875672383382, 0.02173818453413106]","[0.4829606619231314, 1.3727741833634564]","[2.0547553291178147e-07, 1.3840184690605503e-06]",3,76,58,43
88,75,112,31,118,94,63,"[21, 179]",137,147,46,2.7295884792977168,0.006205344410627004,0.016014197919223285,0.0032417599232007713,0.6221542750931566,0.7985421484884296,11.433879299844705,0.09789091985995457,0.18806554346520077,0.6288197815860539,0.20777897851134375,51.21394480045295,0.44714554638527393,0.2567519753011599,0.1579702041186206,0.5906498291346187,"[0.007157391165072132, 0.02206726072248745]","[0.48408870324471104, 1.3524927029795153]","[2.0759478992265422e-07, 1.3274138813658473e-06]",3,76,292,41
179,151,149,12,103,128,97,"[97, 205]",124,88,96,1.668603035285587,0.0053326598793600796,0.011476764749930566,0.3228156749511225,0.4202045743633744,0.45861964896796914,68.90160535175498,0.9174705824080941,0.35992170563198295,0.6849320774552714,0.2866683241148476,134.0621176470437,0.51198274552482,0.5398193472255001,0.6481309928823777,0.5653741629460577,"[0.006718745190774191, 0.02085970116685196]","[0.5981637818109885, 1.3352506821262269]","[8.476432876234368e-08, 1.2945553437482236e-06]",1,14,8,377
165,142,68,63,145,83,90,"[84, 237]",61,76,88,2.3718189323248753,0.006205187337977579,0.01271968740409371,0.33703965738899383,0.47265377316341545,0.557071836935613,62.8832537281304,0.5614554169252658,0.13496142189828678,0.37390621278845976,0.4235119209310878,12.663628969966112,0.5800185575983043,0.9726411033649588,0.7327846706035452,0.8046698131016896,"[0.009803181354752055, 0.024235938942581463]","[0.7567634382272888, 1.3411032477453513]","[2.488406640772797e-07, 1.0620228897578026e-06]",3,1,89,112
128,54,165,63,162,92,75,"[71, 236]",98,57,41,1.3636211790372124,0.005388105193870632,0.015284170419561684,0.21490364713060767,0.202191650503054,0.44313202563578025,127.35408214630604,0.44979682909997554,0.14853108786409286,0.29901458600397424,0.6909804461994473,43.267702209785796,0.25469500268700496,0.2479498348584515,0.7602392588744781,0.4590585158674755,"[0.009112885303335844, 0.022005665944753987]","[0.4675312475512356, 1.4036610444802813]","[1.0079523099514887e-07, 8.860272988528619e-07]",2,2,132,71
161,55,84,49,106,73,110,"[71, 202]",54,100,39,1.8071725013081004,0.006287903474325743,0.026632248461027783,0.186897292130855,0.2498058931961837,0.2164468157974984,41.02812648030174,0.8521799497144699,0.20815699513911168,0.3086814766399441,0.48520349099907173,163.67395381125544,0.7384134037930026,0.10173003698767857,0.7112705217763658,0.4922354891014187,"[0.006120718672797444, 0.02474760475617554]","[0.561637229595219, 1.557784557588754]","[5.456520248908758e-08, 9.09261821061379e-07]",2,-1,155,110
82,60,130,69,166,68,108,"[92, 154]",162,90,56,2.429042184482843,0.00798607994332924,0.030838368582114188,0.3976977150947253,0.6775418111424465,0.30214827689919876,22.92827083857709,0.8378996590850621,0.10539582376579291,0.34076712298748024,0.3198083829707247,155.95270848802633,0.8538717096910521,0.8187350105664511,0.7172734262699823,0.9744215889098096,"[0.005825262307880194, 0.02233405122468098]","[0.6511782972851712, 1.5031646161680734]","[1.5640424288008844e-07, 1.540364206782168e-06]",2,22,103,0
148,193,186,38,149,122,107,"[44, 154]",53,55,43,1.215941907854325,0.005378833352182018,0.037676476049140165,0.370274282701035,0.7340098659232941,0.651060763929842,69.50859222644097,0.8743215800325804,0.32094753533474757,0.5267279687491548,0.40196812975080565,155.952729245431,0.4496283630479212,0.18650477781340455,0.3050605842110787,0.14108385040279925,"[0.0058139600410393065, 0.024154388953222014]","[0.7810323128543059, 1.4921911736040654]","[2.2089597932970704e-07, 1.4863030191514077e-06]",1,137,84,29
186,73,87,78,135,81,134,"[85, 198]",61,49,76,1.7467259726393138,0.005058263776714137,0.027183909639935132,0.3856831067941629,0.4075586268394741,0.31478800869042595,151.4844349259327,0.38168487792573824,0.2296506013048475,0.47030052885781154,0.4168632428466296,151.51982524001306,0.17401467917181634,0.7496658320849677,0.1432933210699294,0.710570289062725,"[0.009896011837495708, 0.020112848266825478]","[0.6950462551651587, 1.4397628325045482]","[1.297240160807071e-07, 1.4564527126427277e-06]",3,-1,57,39
64,169,139,14,131,100,71,"[77, 236]",149,10,57,1.922198944653292,0.006621571686927424,0.03368229557352066,0.2931986214714947,0.46860058047307984,0.20305025650991793,96.65154784497282,0.795829246284163,0.15503531406358212,0.21442975839582434,0.7043951834514395,153.1455127950773,0.2691275281470117,0.7575325742338311,0.29082780926069074,0.7377227386806625,"[0.007536384711034773, 0.02197838911352592]","[0.48970938256447116, 1.257784455244306]","[5.877865804404902e-08, 1.2009168264648844e-06]",1,77,20,5
127,188,109,35,122,120,98,"[57, 232]",159,59,31,2.6115769193212763,0.006409705559269417,0.02499428977297347,0.016962884054575602,0.4624936957395818,0.640434770035451,146.47586915195646,0.8474101940248794,0.19056850210055437,0.6933285573436367,0.39355466675282375,66.82774061877876,0.8611670575682333,0.8220738886411517,0.6090003604777998,0.66416232176388,"[0.00859042831581482, 0.021339875618169652]","[0.5552657912470891, 1.3160445928784632]","[1.7576989484813523e-07, 1.2187141004126086e-06]",4,32,25,0
69,193,107,45,142,147,59,"[57, 194]",70,153,51,1.473056241248041,0.005790274375282904,0.024336767246299747,0.39774723563262604,0.20554930447151112,0.37867761257913357,167.15358862301932,0.1053790891057731,0.029930838732988185,0.35138182717819477,0.39238363289268974,70.07249264368191,0.6498453714593299,0.3625266960335617,0.3073106707352671,0.22168247949507436,"[0.009033144091712993, 0.024361852693862367]","[0.6456842115525188, 1.2769766771946243]","[7.766115901709257e-08, 1.492005379742061e-06]",4,99,113,53
