
78,153,154,3,174,84,96,"[43, 204]",126,106,48,1.36328851143837,0.005549952467731881,0.01742749458595386,0.08853851574143459,0.20600648636229216,0.635209321522274,154.8945202587866,0.95236363941842,0.09258732075863346,0.5177622171757172,0.6747114563971426,26.99595123095758,0.7605718357473209,0.538219090980292,0.48445608235645476,0.5239500232325517,"[0.008911950282269236, 0.02415911054357134]","[0.6579694321051444, 1.318307705305612]","[1.6791076568470538e-07, 1.4384563894842531e-06]",1,3,4,1
73,138,178,7,172,83,93,"[47, 206]",135,110,31,2.432587895161487,0.006222919670293621,0.02413210379415441,0.19922870160914866,0.6851686507091197,0.32940193080888225,101.27125962416773,0.3849165875926802,0.38916461288924936,0.5120446959981397,0.2377268066125406,55.90183435675488,0.6959674755623393,0.23633399717490902,0.3321006716884707,0.3513985977240738,"[0.006079130874994284, 0.022959396637954807]","[0.5614388627670435, 1.5892919993223682]","[1.540453652449976e-07, 8.621219529305195e-07]",4,1,7,2
99,87,183,3,174,100,110,"[54, 198]",105,102,67,1.096269617911826,0.007654660064034445,0.02803447256338904,0.3956596905132048,0.28663596964723353,0.4729897565504472,136.1053860394233,0.6073399836444683,0.374019977825627,0.3293916761263671,0.3083095128260858,56.94532033415642,0.12017211979873199,0.274366246954316,0.5624708498268439,0.8617322543615966,"[0.008592047278111394, 0.02485959371028885]","[0.41883133656890853, 1.217774310116223]","[1.3985929592684163e-07, 7.260263659457851e-07]",2,1,0,1
52,56,129,9,178,85,92,"[42, 205]",120,111,63,1.0657421512440066,0.007343716374214096,0.03969304505872218,0.37890978461802516,0.2110187589805384,0.5498675210891036,144.91288314304757,0.6662164246725315,0.36726413675464936,0.26580413324478847,0.3535401490097001,80.91005929380202,0.7291724752992803,0.10263606460126502,0.5761713778705875,0.21763659956944736,"[0.005025527891502164, 0.021160590050394116]","[0.5299186968709725, 1.3420417989508517]","[5.407058001668382e-08, 8.244785993815714e-07]",3,2,4,1
92,188,158,8,165,83,93,"[49, 196]",111,110,65,2.972280902414144,0.007898843876667021,0.024080083740778677,0.2996081642752415,0.5017269555658341,0.34271602792655675,113.84088498219619,0.1059819968511837,0.32013602832259047,0.5123089587644983,0.7613701143647491,105.2126437902043,0.5270645864868408,0.5724775959689165,0.7551225825263106,0.11116515571203697,"[0.008592336851416471, 0.022810454213885077]","[0.4053440305878824, 1.4462756826526713]","[7.657371109678695e-08, 1.558373108612346e-06]",4,1,6,1
132,175,70,14,177,94,99,"[41, 199]",114,114,87,1.3746162931813595,0.00618100651708448,0.010260209825243921,0.14049498006009845,0.7686136430564499,0.5330313370250936,73.19676110137084,0.41203604649049363,0.16897726178136419,0.670277499270207,0.31037352351405123,77.76018830539202,0.3134369143199811,0.6944927952003058,0.3459642261986973,0.48799643067582543,"[0.008790225301179774, 0.02487693846575352]","[0.5674686094078428, 1.574674964181336]","[1.3781103364567427e-07, 1.5938182275593186e-06]",3,1,8,2
107,64,75,9,179,97,105,"[43, 192]",105,100,38,2.0500646275844896,0.007663890685681334,0.030091423503499838,0.11634439226391056,0.628399537372617,0.39700394544236384,90.08208692906516,0.737579671845088,0.06804690381704073,0.35861302071509227,0.3828480992329303,81.38355144799199,0.11438559764188838,0.6377203528094911,0.43673756823142784,0.11747152396620818,"[0.007546424354117051, 0.024384099167462963]","[0.6791867566257868, 1.3774655067826997]","[2.975410992731427e-08, 1.3309747691521814e-06]",2,0,1,1
177,89,66,2,170,93,107,"[49, 197]",104,107,81,2.8995809945849733,0.0068611354688332855,0.018713461754109414,0.12422211368850378,0.29324171534590937,0.6103092012979179,146.9000581294145,0.1193132942964209,0.3643814418679092,0.5996280285010858,0.6065904637971961,123.33116690684679,0.15100930991869277,0.5268864503441651,0.7214875890646405,0.5273197105538067,"[0.007168676219546892, 0.021307760927062897]","[0.7702921885606997, 1.2269542171652388]","[8.508879717666816e-08, 1.573947761601411e-06]",2,-1,3,1
177,107,117,4,176,94,95,"[49, 206]",138,118,73,2.3616114411079137,0.007432534809342932,0.032541656241029004,0.24911556516272226,0.5980994890463609,0.6621951889807731,160.1731603580445,0.3171186149252301,0.35319497892818813,0.30800967159102866,0.31131367049623365,79.64473708072303,0.8549912627749874,0.43338257576563755,0.6243394105426721,0.7352105728618473,"[0.006872489726882815, 0.022562144816485018]","[0.4094161227791173, 1.4895745376521285]","[8.353541856440751e-08, 1.0058091369705637e-06]",2,-1,5,9
144,100,195,21,168,81,96,"[55, 199]",139,102,35,1.2558241370361543,0.006050881330753423,0.023376598840430852,0.2841787816743616,0.3504377385737786,0.5021663673755598,16.571685871206814,0.7612921808361954,0.10593673906469565,0.2627709854913389,0.7084770787666619,28.052259532367803,0.7607994369728704,0.8429358136952119,0.8068119973358062,0.4906352415105122,"[0.0051143600231824266, 0.021580023670211855]","[0.6520467028140349, 1.307416124904149]","[3.9701485682529526e-08, 1.473397054559471e-06]",1,2,19,12
66,117,126,20,176,87,90,"[46, 191]",134,117,33,1.9093903158562047,0.007549058200836957,0.03398722238741484,0.3525830621128442,0.6210546998708046,0.5197907526010913,156.89604875331247,0.5545365175749324,0.06155113762754616,0.2448811274779889,0.719118914653283,27.329529334767084,0.6536103605525264,0.17271908269069808,0.22491205645297987,0.6522680183736478,"[0.009277330371713497, 0.02189955151819905]","[0.49558194921883086, 1.3145122619046625]","[8.398592425650207e-08, 1.0195749837740513e-06]",4,25,14,11
79,135,132,1,175,81,91,"[44, 200]",144,113,74,1.5357686066030358,0.006977102628618151,0.015513951490686267,0.1412153055528321,0.43922520006595783,0.39081838720640416,93.3915731013861,0.7566210886203677,0.3182986782037353,0.608907735698353,0.3161797691149588,164.46118392489043,0.07383564363335382,0.1157533368862276,0.7605811248153665,0.47536779383962324,"[0.0061594156013152395, 0.024918781791395717]","[0.49026450658722764, 1.2175665145892476]","[4.235797683032202e-08, 8.726471059910328e-07]",1,1,0,6
199,91,108,24,173,81,99,"[46, 204]",125,105,65,1.9007369964614678,0.00791101921199511,0.03902675972366045,0.11417853620734389,0.7603275245539955,0.5414249418449009,37.975462808130104,0.5448411210503356,0.2883340078529021,0.7604113872829799,0.49498687343633163,167.12287901988708,0.3241532568984442,0.6819124260564977,0.26542057962455423,0.9978706747246674,"[0.005409683145927623, 0.023857275270732704]","[0.4062223364762297, 1.3328567416149162]","[1.5321614441523038e-07, 9.621031629212232e-07]",1,-1,3,3
139,189,77,9,171,89,103,"[44, 192]",127,118,52,1.966479323876953,0.005279925101040484,0.023663274530110332,0.2542793143205922,0.6000900007726222,0.3366373167852059,43.44341691794406,0.35049200184638174,0.006061021613265805,0.7587832369351619,0.4643490226017835,73.143424479089,0.10189801742974813,0.5629148992001146,0.25993077082105887,0.7609532416340699,"[0.009375787917566632, 0.021235354033298237]","[0.7587982235627155, 1.205189511792576]","[9.50964154710776e-08, 1.5469930472497935e-06]",2,1,3,2
195,65,92,15,165,85,105,"[41, 196]",132,104,94,1.5777309547901464,0.005053160046135246,0.026224673346340856,0.10250594974123209,0.21030781837175427,0.5392991518233926,121.82763550136627,0.06450438382122115,0.3132789677702169,0.6938700314142865,0.7163986520430647,36.235936322926094,0.9752604813754566,0.4573015843486029,0.9561853792561407,0.7703182466809433,"[0.009296309353409013, 0.024211955924495702]","[0.5317899037645895, 1.4763987520239539]","[1.9762399067340865e-07, 1.5451210184602134e-06]",4,-1,5,3
171,51,100,17,170,91,90,"[54, 192]",143,117,63,2.9941073441069888,0.006470405642633331,0.01990332159050897,0.0019660135101537525,0.34799287628590647,0.3552421194886553,121.22473752548123,0.45463343746523877,0.18645000880016127,0.5652593273911206,0.7594378164263929,76.43356266477666,0.008317146083910543,0.19699973998141673,0.1491900935266864,0.20617591642187372,"[0.005784912368146546, 0.02021040859085073]","[0.7420645308397312, 1.4906298245377618]","[2.294086759193192e-07, 9.314054016315592e-07]",1,-1,9,7
64,80,190,25,166,91,110,"[47, 209]",130,115,42,2.0340745568793572,0.005589454850394172,0.025682994211812138,0.05488933707993082,0.6804927948175556,0.6866955031877591,149.14249898712478,0.38552805141869295,0.023511826412629236,0.572496712044371,0.3081931113289279,60.73006319775928,0.7537007515935839,0.9677136389081112,0.5201652954387063,0.776599963483142,"[0.006345262348699717, 0.021000470103860743]","[0.6257564286120744, 1.3790678408196055]","[2.469165853602063e-07, 1.417397173176586e-06]",4,2,1,11
